,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
252,Walker Kessler,C,21,UTA,31,4,17.7,2.9,3.8,.754,0.0,0.0,,2.9,3.8,.754,.754,0.9,1.7,.538,2.3,3.8,6.1,0.6,0.2,1.9,0.7,2.3,6.6
253,Braxton Key,SF,25,DET,3,0,3.0,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.7,0.7,1.000,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,1.3
254,Corey Kispert,SF,23,WAS,24,15,27.9,3.4,7.0,.488,1.8,4.3,.412,1.7,2.8,.606,.613,0.8,1.1,.731,0.6,1.8,2.5,1.5,0.5,0.2,0.6,1.6,9.4
255,Maxi Kleber,C,31,DAL,22,0,25.6,2.3,4.7,.490,1.1,3.0,.369,1.2,1.8,.692,.606,0.5,0.6,.786,0.9,2.7,3.5,1.0,0.3,1.0,0.6,2.2,6.2
256,Nathan Knight,PF,25,MIN,14,0,5.3,1.1,1.5,.714,0.1,0.3,.250,1.0,1.2,.824,.738,0.7,0.9,.769,0.4,0.8,1.1,0.2,0.2,0.1,0.6,0.6,2.9
257,Kevin Knox,SF,23,DET,27,0,14.4,2.1,4.4,.479,1.1,2.8,.382,1.0,1.6,.651,.601,0.7,0.9,.783,0.5,1.9,2.4,0.5,0.4,0.3,0.7,1.8,6.0
258,Christian Koloko,C,22,TOR,31,17,16.4,1.3,3.0,.441,0.0,0.2,.000,1.3,2.8,.477,.441,1.0,1.5,.660,1.6,1.7,3.4,0.5,0.3,1.3,0.5,2.6,3.6
259,John Konchar,SG,26,MEM,28,20,26.6,2.9,6.3,.466,1.4,3.6,.392,1.5,2.6,.568,.580,0.5,0.6,.882,1.1,4.8,5.9,1.5,1.0,0.3,0.6,1.6,7.8
260,Furkan Korkmaz,SG,25,PHI,17,0,12.0,1.4,3.6,.387,0.6,1.8,.333,0.8,1.9,.438,.468,1.1,1.5,.720,0.2,1.1,1.4,1.0,0.2,0.1,0.7,0.5,4.5
261,Luke Kornet,C,27,BOS,27,0,13.2,1.8,2.6,.686,0.1,0.2,.333,1.7,2.4,.719,.700,0.6,0.7,.833,1.4,2.1,3.5,0.7,0.2,0.9,0.4,1.5,4.2
262,Vit Krejci,PG,22,ATL,14,0,7.0,0.6,1.7,.375,0.4,1.1,.313,0.3,0.6,.500,.479,0.1,0.1,.500,0.1,0.6,0.7,0.7,0.1,0.1,0.2,0.7,1.7
263,Jonathan Kuminga,PF,20,GSW,29,4,18.2,2.8,6.0,.460,0.6,2.0,.276,2.2,4.0,.552,.506,1.2,1.7,.694,1.0,2.1,3.1,1.4,0.4,0.4,1.4,2.2,7.2
264,Kyle Kuzma,PF,27,WAS,31,31,35.3,8.2,17.7,.464,2.6,7.6,.345,5.6,10.1,.554,.538,2.5,3.6,.688,1.0,6.6,7.6,3.5,0.5,0.5,2.7,2.6,21.5
265,Anthony Lamb,SF,25,GSW,25,2,18.3,2.2,4.2,.509,1.1,2.8,.394,1.0,1.4,.743,.642,0.1,0.3,.375,0.7,2.4,3.0,1.6,0.6,0.3,1.1,2.1,5.6
266,Jock Landale,C,27,PHO,27,0,13.7,2.5,4.7,.523,0.2,1.3,.167,2.3,3.4,.663,.547,1.3,1.6,.795,1.6,2.2,3.7,0.7,0.2,0.7,0.9,1.9,6.5
267,Romeo Langford,SG,23,SAS,17,6,19.8,2.6,5.2,.494,0.4,1.5,.240,2.2,3.8,.594,.528,1.0,1.5,.680,1.5,1.4,2.9,0.9,0.6,0.5,0.8,1.7,6.5
268,Jake LaRavia,PF,21,MEM,19,0,16.5,1.6,3.8,.417,1.0,2.6,.380,0.6,1.2,.500,.549,0.3,0.3,1.000,0.8,1.9,2.8,0.9,0.5,0.2,0.8,1.8,4.4
269,Zach LaVine,SG,27,CHI,27,27,34.3,7.9,17.6,.447,2.7,7.5,.366,5.1,10.1,.507,.525,3.3,4.0,.824,0.6,3.9,4.4,4.3,1.1,0.0,2.6,2.3,21.7
270,A.J. Lawson,SG,22,MIN,1,0,2.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Damion Lee,SG,30,PHO,32,2,21.4,2.8,6.1,.459,1.8,3.9,.476,0.9,2.2,.429,.611,0.7,0.8,.920,0.7,2.7,3.3,1.2,0.5,0.1,0.8,1.4,8.1
273,Saben Lee,PG,23,PHI,2,0,5.0,1.5,2.0,.750,0.0,0.5,.000,1.5,1.5,1.000,.750,0.0,0.0,,0.0,0.0,0.0,1.0,0.5,0.0,1.5,0.5,3.0
274,Alex Len,C,29,SAC,8,0,3.1,0.6,1.1,.556,0.0,0.0,,0.6,1.1,.556,.556,0.1,0.3,.500,0.4,0.8,1.1,0.3,0.0,0.0,0.0,0.4,1.4
275,Kawhi Leonard,SF,31,LAC,12,10,26.9,5.8,13.0,.442,0.9,3.9,.234,4.8,9.1,.532,.478,2.9,3.9,.745,1.0,5.2,6.2,3.3,0.9,0.3,1.4,1.4,15.3
276,Caris LeVert,SG,28,CLE,29,16,31.1,4.2,10.9,.390,1.4,4.2,.344,2.8,6.7,.420,.457,1.9,2.6,.757,0.8,3.6,4.3,4.0,0.7,0.1,1.7,2.3,11.9
277,Kira Lewis Jr.,PG,21,NOP,1,0,6.0,1.0,4.0,.250,0.0,1.0,.000,1.0,3.0,.333,.250,2.0,2.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0
278,Damian Lillard,PG,32,POR,20,20,34.8,8.4,18.7,.448,4.4,11.2,.393,4.0,7.5,.530,.566,6.6,7.4,.898,0.6,3.2,3.7,7.1,0.9,0.2,3.6,1.9,27.7
279,Nassir Little,PF,22,POR,21,0,15.3,2.0,4.3,.473,0.8,2.0,.372,1.3,2.3,.563,.560,0.7,1.0,.667,0.3,2.0,2.4,0.9,0.4,0.1,0.7,0.8,5.5
280,Isaiah Livers,PF,24,DET,22,7,19.5,1.9,4.7,.404,1.3,3.7,.358,0.6,1.0,.565,.543,0.7,0.9,.750,0.5,1.8,2.3,0.6,0.4,0.5,0.6,1.9,5.8
281,Kenneth Lofton Jr.,PF,20,MEM,5,0,4.6,1.4,2.8,.500,0.0,0.2,.000,1.4,2.6,.538,.500,0.2,0.6,.333,0.2,0.6,0.8,0.8,0.0,0.0,0.2,0.6,3.0
282,Kevon Looney,C,26,GSW,33,33,22.9,2.8,4.3,.645,0.0,0.0,,2.8,4.3,.645,.645,1.0,1.5,.660,2.5,5.2,7.7,2.9,0.4,0.6,0.4,2.8,6.5
283,Brook Lopez,C,34,MIL,30,30,30.5,5.4,10.8,.497,2.1,5.3,.400,3.2,5.5,.591,.596,1.7,2.1,.823,1.8,4.2,6.0,1.2,0.5,2.7,1.3,2.3,14.6
284,Robin Lopez,C,34,CLE,21,1,8.8,1.3,2.0,.643,0.0,0.0,,1.3,2.0,.643,.643,0.4,0.6,.750,0.8,0.7,1.5,0.4,0.0,0.1,0.7,1.1,3.0
285,Kevin Love,PF,34,CLE,25,1,20.1,2.8,7.0,.400,1.9,5.0,.376,0.9,2.0,.460,.534,1.5,1.7,.881,0.8,6.2,7.0,2.2,0.2,0.2,1.2,1.6,9.0
286,Kyle Lowry,PG,36,MIA,28,28,36.1,4.3,10.6,.401,2.4,6.8,.353,1.9,3.8,.486,.513,3.1,3.7,.854,0.8,4.0,4.7,5.9,1.1,0.5,2.4,2.9,14.0
287,Trey Lyles,PF,27,SAC,24,0,13.3,1.9,4.8,.397,1.0,3.2,.329,0.9,1.7,.525,.504,0.7,1.0,.708,0.9,1.8,2.7,0.7,0.3,0.3,0.8,1.1,5.6
288,Théo Maledon,PG,21,CHO,30,1,16.9,1.9,4.5,.422,0.6,1.7,.333,1.3,2.8,.476,.485,1.3,1.5,.870,0.3,2.3,2.6,2.4,0.8,0.2,1.0,1.0,5.7
289,Sandro Mamukelashvili,C,23,MIL,13,0,8.7,0.9,2.4,.387,0.4,1.2,.313,0.5,1.2,.467,.468,0.4,0.8,.500,0.7,1.7,2.4,0.7,0.1,0.2,0.3,0.8,2.6
290,Terance Mann,SG,26,LAC,32,13,22.1,3.4,6.5,.522,0.8,2.2,.357,2.6,4.3,.606,.582,1.1,1.5,.735,1.2,2.8,4.0,1.9,0.6,0.3,1.2,1.9,8.7
291,Tre Mann,PG,21,OKC,27,4,19.9,3.3,8.6,.381,1.3,4.6,.288,1.9,3.9,.491,.459,0.5,0.7,.650,0.6,2.0,2.6,1.6,0.8,0.1,0.9,1.5,8.3
292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,Boban Marjanović,C,34,HOU,10,0,3.8,0.7,1.1,.636,0.0,0.1,.000,0.7,1.0,.700,.636,0.7,0.9,.778,0.1,0.9,1.0,0.1,0.1,0.1,0.2,0.1,2.1
294,Lauri Markkanen,SF,25,UTA,31,31,33.9,8.1,15.1,.534,2.9,6.7,.438,5.1,8.4,.612,.631,3.8,4.5,.830,2.0,6.2,8.2,2.1,0.6,0.6,2.0,2.2,22.8
295,Naji Marshall,SF,25,NOP,28,4,21.9,2.8,6.5,.436,0.9,2.8,.329,1.9,3.6,.520,.508,1.4,1.8,.816,0.8,2.2,3.0,2.2,0.8,0.3,0.9,1.3,8.0
296,Caleb Martin,PF,27,MIA,29,29,32.9,4.2,9.1,.468,1.5,3.8,.396,2.7,5.2,.520,.551,1.1,1.4,.800,1.6,3.1,4.7,1.9,1.1,0.3,1.2,2.0,11.1
297,Cody Martin,SF,27,CHO,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,Kenyon Martin Jr.,SF,22,HOU,31,6,24.2,4.2,7.6,.553,0.8,2.7,.313,3.4,5.0,.682,.608,1.5,2.3,.634,1.6,3.5,5.1,1.5,0.4,0.4,1.1,1.6,10.7
299,Tyrese Martin,SG,23,ATL,9,0,3.9,0.6,1.6,.357,0.1,0.6,.200,0.4,1.0,.444,.393,0.0,0.0,,0.2,0.3,0.6,0.0,0.1,0.0,0.0,0.1,1.2
300,Garrison Mathews,SG,26,HOU,24,0,13.3,1.4,3.6,.384,1.3,3.4,.370,0.1,0.2,.600,.558,1.2,1.3,.935,0.2,1.0,1.2,0.4,0.5,0.1,0.3,1.3,5.2
301,Bennedict Mathurin,SG,20,IND,32,1,28.8,5.6,13.5,.413,1.8,5.3,.351,3.7,8.2,.452,.481,4.6,5.6,.811,1.2,2.9,4.1,1.5,0.6,0.1,1.8,1.9,17.5
302,Wesley Matthews,SG,36,MIL,23,0,14.4,1.0,2.9,.348,0.8,2.3,.340,0.2,0.6,.385,.485,0.3,0.3,.875,0.7,0.9,1.6,0.5,0.5,0.2,0.3,1.5,3.1
303,Tyrese Maxey,SG,22,PHI,15,15,36.4,8.4,18.2,.462,2.9,6.8,.422,5.5,11.4,.485,.540,3.2,4.3,.738,0.4,3.1,3.5,4.4,1.0,0.3,2.0,2.3,22.9
304,Miles McBride,PG,22,NYK,20,0,11.4,1.3,3.3,.400,0.6,2.1,.268,0.8,1.2,.625,.485,0.3,0.5,.556,0.3,0.6,0.9,1.4,0.7,0.0,0.4,0.8,3.4
305,CJ McCollum,SG,31,NOP,26,26,35.3,7.4,17.8,.415,2.3,6.6,.351,5.1,11.2,.452,.479,1.6,2.0,.804,1.0,4.0,5.0,5.8,1.0,0.6,2.2,1.8,18.7
306,T.J. McConnell,PG,30,IND,29,0,17.3,2.3,5.3,.444,0.1,0.6,.250,2.2,4.7,.467,.458,0.6,0.6,.889,0.6,1.7,2.3,4.2,1.1,0.2,1.6,1.2,5.4
307,Jaden McDaniels,PF,22,MIN,29,29,30.4,4.3,8.2,.523,1.2,3.2,.370,3.1,5.1,.619,.594,1.1,1.4,.762,1.2,2.2,3.4,1.5,1.1,1.1,1.5,3.5,10.9
308,Jalen McDaniels,SF,25,CHO,32,10,26.5,3.9,8.8,.446,1.2,3.5,.348,2.7,5.3,.512,.516,1.8,1.9,.903,0.9,3.8,4.7,2.2,1.0,0.6,1.3,3.1,10.8
309,Doug McDermott,SF,31,SAS,26,0,20.9,4.0,8.2,.481,2.1,4.8,.432,1.9,3.4,.551,.607,0.6,0.8,.682,0.3,1.8,2.1,1.5,0.1,0.2,1.0,1.7,10.6
310,JaVale McGee,C,35,DAL,20,7,9.0,2.0,3.2,.619,0.1,0.2,.250,1.9,3.0,.644,.627,0.7,1.2,.542,0.8,1.8,2.6,0.2,0.2,0.6,1.0,1.3,4.6
311,Bryce McGowens,SG,20,CHO,13,0,14.3,1.4,3.5,.400,0.5,1.2,.375,0.9,2.2,.414,.467,0.8,0.9,.917,0.2,1.2,1.4,1.0,0.3,0.3,0.5,0.5,4.1
312,Rodney McGruder,SG,31,DET,11,2,8.4,0.5,2.2,.208,0.3,1.5,.176,0.2,0.6,.286,.271,0.4,0.4,1.000,0.5,1.1,1.6,0.8,0.2,0.0,0.4,0.3,1.5
313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Jordan McLaughlin,PG,26,MIN,18,0,15.9,1.6,3.7,.424,0.4,1.9,.235,1.1,1.8,.625,.485,0.5,0.5,1.000,0.4,1.3,1.7,3.6,0.8,0.1,0.8,0.4,4.1
315,De'Anthony Melton,PG,24,PHI,27,20,30.0,4.4,10.7,.417,2.3,6.2,.377,2.1,4.5,.471,.526,0.7,1.0,.704,1.2,3.7,4.9,3.3,2.1,0.4,1.7,2.1,11.9
316,Chimezie Metu,C,25,SAC,24,0,11.5,2.2,3.7,.584,0.2,0.9,.238,2.0,2.8,.691,.612,0.7,0.8,.800,0.6,2.5,3.1,0.7,0.4,0.2,0.7,1.2,5.2
317,Khris Middleton,SF,31,MIL,7,7,24.4,3.6,11.0,.325,1.6,5.9,.268,2.0,5.1,.389,.396,2.4,2.7,.895,0.1,2.4,2.6,4.4,0.6,0.1,1.6,2.6,11.1
318,Patty Mills,PG,34,BRK,22,1,12.1,2.0,4.4,.469,1.2,3.0,.409,0.8,1.4,.600,.609,0.5,0.5,.917,0.2,0.8,1.0,1.4,0.3,0.0,0.5,0.5,5.8
319,Shake Milton,SG,26,PHI,26,8,24.8,4.3,8.5,.505,0.8,2.3,.367,3.5,6.2,.556,.554,1.7,2.0,.846,0.6,2.7,3.3,3.5,0.4,0.2,1.7,1.8,11.2
320,Josh Minott,SF,20,MIN,5,0,2.8,0.6,0.8,.750,0.0,0.0,,0.6,0.8,.750,.750,0.8,0.8,1.000,0.4,0.2,0.6,0.4,0.2,0.2,0.0,0.2,2.0
321,Davion Mitchell,PG,24,SAC,29,3,19.6,2.6,5.8,.446,0.8,2.6,.303,1.8,3.2,.565,.515,0.4,0.6,.706,0.2,1.4,1.6,2.5,0.5,0.3,1.1,1.6,6.4
322,Donovan Mitchell,SG,26,CLE,29,29,36.4,10.3,20.4,.503,3.9,9.1,.428,6.4,11.3,.564,.599,5.0,5.6,.896,0.9,2.9,3.8,4.5,1.3,0.3,2.9,2.7,29.5
323,Evan Mobley,PF,21,CLE,33,33,34.0,5.9,10.6,.558,0.3,1.1,.243,5.7,9.5,.596,.571,2.7,3.8,.698,2.6,6.5,9.1,2.6,0.7,1.3,2.0,2.9,14.8
324,Isaiah Mobley,PF,23,CLE,8,0,3.3,0.5,1.0,.500,0.1,0.3,.500,0.4,0.8,.500,.563,0.0,0.0,,0.1,1.3,1.4,0.0,0.1,0.0,0.0,0.3,1.1
325,Chima Moneke,SF,27,SAC,2,0,4.0,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,1.0,.000,1.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0
326,Malik Monk,SG,24,SAC,30,0,22.9,5.0,11.0,.453,1.9,5.6,.337,3.1,5.4,.574,.539,2.3,2.5,.908,0.4,1.8,2.2,4.0,0.6,0.1,1.9,1.6,14.2
327,Moses Moody,SG,20,GSW,28,3,15.9,1.9,4.1,.456,1.0,2.6,.403,0.8,1.5,.548,.583,0.7,0.8,.826,0.4,1.4,1.8,0.9,0.4,0.2,0.8,1.0,5.4
328,Wendell Moore Jr.,SG,21,MIN,15,2,6.3,0.8,1.8,.444,0.1,0.8,.167,0.7,1.0,.667,.481,0.3,0.3,.800,0.1,0.7,0.9,0.5,0.3,0.2,0.5,0.7,2.0
329,Ja Morant,PG,23,MEM,25,25,32.3,9.4,20.8,.454,1.8,5.1,.346,7.7,15.7,.489,.496,6.4,8.7,.737,1.3,5.2,6.4,7.8,1.1,0.2,3.7,1.9,27.0
330,Marcus Morris,PF,33,LAC,30,30,30.0,5.1,11.4,.447,2.0,5.4,.379,3.1,6.0,.508,.537,1.3,1.6,.792,0.5,4.6,5.1,1.7,0.7,0.4,1.0,2.3,13.5
331,Markieff Morris,PF,33,BRK,19,1,11.4,1.4,3.2,.443,1.0,2.1,.487,0.4,1.2,.364,.598,0.3,0.3,1.000,0.5,1.8,2.3,1.0,0.3,0.2,0.6,1.2,4.2
332,Monte Morris,PG,27,WAS,27,27,28.4,3.9,8.5,.452,1.3,3.4,.391,2.5,5.1,.493,.530,0.7,1.0,.714,0.4,2.9,3.3,5.1,0.8,0.2,0.9,1.5,9.8
333,Trey Murphy III,SF,22,NOP,28,18,28.6,4.1,8.9,.456,2.3,5.7,.394,1.8,3.2,.567,.582,1.8,2.0,.927,1.1,3.2,4.3,1.4,1.1,0.5,0.9,2.0,12.2
334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Dejounte Murray,SG,26,ATL,27,27,35.8,8.1,18.1,.448,2.0,5.7,.348,6.1,12.4,.494,.503,2.2,2.6,.843,0.7,4.7,5.4,6.3,1.7,0.4,2.7,1.8,20.4
336,Jamal Murray,PG,25,DEN,25,25,30.8,6.6,15.1,.437,1.8,5.3,.338,4.8,9.8,.490,.496,2.5,3.2,.765,0.6,3.1,3.7,5.4,0.8,0.2,2.0,1.3,17.5
337,Keegan Murray,SF,22,SAC,28,26,29.1,4.4,10.3,.429,2.4,6.1,.386,2.0,4.1,.491,.544,1.1,1.4,.795,0.8,3.0,3.8,0.8,0.8,0.6,1.3,2.2,12.3
338,Mike Muscala,C,31,OKC,22,1,12.8,1.9,4.2,.457,1.0,2.8,.371,0.9,1.4,.633,.582,0.5,0.7,.750,0.4,2.7,3.0,0.8,0.1,0.5,0.3,1.6,5.4
339,Svi Mykhailiuk,SF,25,NYK,11,0,3.5,0.5,1.1,.500,0.5,0.9,.600,0.0,0.2,.000,.750,0.3,0.5,.600,0.0,0.6,0.6,0.1,0.1,0.0,0.2,0.1,1.9
340,Larry Nance Jr.,PF,30,NOP,27,0,23.2,3.9,6.0,.648,0.4,0.9,.400,3.5,5.1,.693,.679,0.9,1.2,.727,1.8,4.0,5.8,1.9,1.0,0.9,1.0,2.3,9.0
341,Andrew Nembhard,SG,23,IND,27,18,25.9,3.3,7.1,.469,1.3,3.5,.383,2.0,3.6,.551,.563,0.5,0.6,.875,0.4,2.6,3.0,3.9,1.0,0.2,1.4,3.0,8.5
342,Aaron Nesmith,SF,23,IND,28,16,22.4,3.2,7.4,.430,1.6,4.1,.379,1.6,3.3,.495,.536,1.1,1.3,.857,0.8,2.9,3.6,1.1,0.8,0.5,1.0,3.1,9.0
343,Raul Neto,PG,30,CLE,21,0,8.9,1.0,2.0,.476,0.2,0.8,.294,0.7,1.2,.600,.536,0.5,0.6,.833,0.1,0.7,0.8,1.1,0.4,0.0,0.4,0.8,2.6
344,Georges Niang,PF,29,PHI,28,0,19.8,3.2,7.4,.437,2.3,5.5,.416,0.9,1.9,.500,.592,0.7,0.8,.909,0.2,2.0,2.2,1.1,0.5,0.3,0.9,2.1,9.4
345,Daishen Nix,PG,20,HOU,28,0,15.3,1.2,3.5,.343,0.7,2.3,.308,0.5,1.2,.412,.444,0.5,0.7,.789,0.4,1.4,1.8,2.7,0.8,0.1,1.4,1.0,3.7
346,Zeke Nnaji,PF,22,DEN,21,0,9.3,1.6,2.7,.579,0.1,0.7,.214,1.4,2.0,.698,.605,0.6,0.8,.813,0.9,0.5,1.4,0.2,0.1,0.1,0.4,1.3,3.9
347,Nerlens Noel,C,28,DET,6,0,10.3,0.7,2.2,.308,0.0,0.0,,0.7,2.2,.308,.308,0.5,0.7,.750,0.5,2.7,3.2,0.5,0.8,0.3,0.5,1.5,1.8
348,Jaylen Nowell,SG,23,MIN,32,0,19.8,4.5,10.4,.432,1.2,3.9,.302,3.3,6.5,.512,.489,1.3,1.6,.788,0.8,2.1,2.8,2.1,0.7,0.1,1.0,1.5,11.5
349,Frank Ntilikina,PG,24,DAL,14,0,12.9,0.8,2.9,.275,0.4,1.6,.227,0.4,1.3,.333,.338,0.4,0.6,.667,0.1,1.5,1.6,1.4,0.2,0.1,0.6,1.5,2.4
350,Kendrick Nunn,PG,27,LAL,26,2,12.4,2.0,5.8,.353,0.8,2.8,.288,1.2,3.0,.416,.423,0.5,0.5,.923,0.0,1.1,1.1,1.0,0.2,0.0,1.0,0.8,5.3
351,Jusuf Nurkić,C,28,POR,28,28,28.9,5.5,10.1,.541,0.7,1.7,.426,4.8,8.4,.564,.576,2.8,4.1,.684,2.5,7.3,9.8,2.9,0.7,0.9,2.3,3.4,14.4
352,Jordan Nwora,SF,24,MIL,25,3,17.1,2.1,5.7,.364,1.1,3.0,.365,1.0,2.8,.362,.458,1.1,1.3,.844,0.8,2.4,3.2,1.0,0.3,0.1,0.9,0.9,6.3
353,Royce O'Neale,SF,29,BRK,30,30,35.4,3.2,8.3,.387,2.3,5.5,.415,0.9,2.8,.333,.524,0.5,0.8,.640,0.8,4.3,5.1,4.4,1.0,0.7,1.8,3.3,9.2
354,Chuma Okeke,PF,24,ORL,18,7,21.8,1.8,4.8,.368,1.0,3.3,.300,0.8,1.5,.519,.471,0.9,1.2,.762,1.2,3.1,4.2,1.4,0.6,0.5,0.5,1.9,5.4
355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,Josh Okogie,SG,24,PHO,27,0,10.6,1.3,3.4,.387,0.4,1.5,.244,1.0,1.9,.500,.441,1.1,1.4,.744,1.3,1.6,2.9,0.9,0.6,0.4,0.6,1.4,4.1
357,Onyeka Okongwu,C,22,ATL,31,5,21.9,3.5,5.5,.622,0.0,0.1,.000,3.5,5.5,.633,.622,1.6,2.2,.735,2.5,4.2,6.7,0.9,0.5,0.9,0.9,3.0,8.5
358,Isaac Okoro,SG,22,CLE,33,7,18.9,1.6,3.9,.415,0.5,1.9,.242,1.2,2.1,.574,.473,0.8,1.0,.813,0.5,1.6,2.1,0.8,0.7,0.4,0.6,1.9,4.5
359,KZ Okpala,PF,23,SAC,19,3,8.2,0.6,1.3,.480,0.2,0.6,.364,0.4,0.7,.571,.560,0.3,0.3,1.000,0.3,0.9,1.3,0.5,0.2,0.2,0.2,1.2,1.8
360,Victor Oladipo,SG,30,MIA,7,1,25.9,3.3,8.1,.404,1.3,4.6,.281,2.0,3.6,.560,.482,1.3,1.9,.692,0.4,2.6,3.0,2.7,1.6,0.0,1.1,2.7,9.1
361,Kelly Olynyk,PF,31,UTA,32,32,28.6,4.3,8.3,.527,1.5,3.6,.430,2.8,4.7,.600,.619,2.7,3.2,.845,1.3,3.7,5.0,3.2,1.2,0.6,2.3,4.0,12.9
362,Eugene Omoruyi,SF,25,OKC,15,1,12.8,2.3,4.8,.472,0.5,1.9,.286,1.7,2.9,.591,.528,0.9,1.3,.684,1.0,1.7,2.7,0.6,0.8,0.0,0.7,2.3,5.9
363,Cedi Osman,SF,27,CLE,32,0,22.7,3.5,7.5,.463,1.4,4.0,.344,2.1,3.5,.598,.554,1.0,1.5,.688,0.3,2.5,2.8,1.5,0.5,0.1,0.9,1.8,9.3
364,Kelly Oubre Jr.,SF,27,CHO,32,30,33.3,7.8,18.3,.424,2.4,7.6,.317,5.3,10.7,.500,.490,2.9,4.1,.715,1.5,3.8,5.3,1.3,1.7,0.4,1.2,3.0,20.8
365,Chris Paul,PG,37,PHO,18,18,31.7,3.8,9.8,.392,1.6,4.3,.359,2.3,5.4,.418,.472,2.9,3.4,.839,0.6,4.2,4.8,9.1,1.6,0.2,1.9,2.6,12.1
366,Cameron Payne,PG,28,PHO,26,14,24.8,4.7,11.4,.416,1.8,4.8,.387,2.9,6.6,.436,.497,1.4,1.8,.766,0.3,2.0,2.4,5.3,1.0,0.2,2.0,2.1,12.7
367,Theo Pinson,SG,27,DAL,12,0,4.0,0.1,0.8,.100,0.0,0.5,.000,0.1,0.3,.250,.100,0.4,0.5,.833,0.1,1.1,1.2,0.3,0.1,0.0,0.3,0.2,0.6
368,Scotty Pippen Jr.,PG,22,LAL,3,0,7.7,0.3,2.3,.143,0.3,0.7,.500,0.0,1.7,.000,.214,1.3,2.0,.667,0.7,0.7,1.3,0.3,0.3,0.3,0.7,1.0,2.3
369,Mason Plumlee,C,32,CHO,32,32,27.4,3.8,6.3,.612,0.0,0.0,,3.8,6.3,.612,.612,2.3,4.0,.581,3.3,5.8,9.1,3.9,0.7,0.6,1.8,3.3,10.0
370,Jakob Poeltl,C,27,SAS,22,22,26.7,5.5,8.6,.637,0.0,0.0,,5.5,8.6,.637,.637,1.4,2.7,.500,3.6,5.9,9.5,3.2,0.9,1.0,2.3,2.4,12.4
371,Aleksej Pokusevski,PF,21,OKC,29,23,22.2,3.4,8.0,.429,1.2,3.3,.358,2.2,4.7,.478,.502,0.7,1.1,.636,1.6,3.6,5.2,2.0,0.6,1.3,1.4,1.8,8.7
372,Jordan Poole,SG,23,GSW,33,14,28.8,6.5,15.1,.430,2.5,7.7,.318,4.0,7.4,.547,.511,3.6,4.2,.870,0.3,1.8,2.1,4.4,0.8,0.3,3.3,2.2,19.1
373,Kevin Porter Jr.,PG,22,HOU,30,30,34.2,6.6,15.5,.424,1.9,5.8,.322,4.7,9.7,.485,.484,3.9,5.0,.768,1.5,4.1,5.6,5.6,1.5,0.5,3.9,2.9,18.9
374,Michael Porter Jr.,SF,24,DEN,16,16,29.1,6.0,12.9,.466,2.9,6.9,.427,3.1,6.0,.510,.580,1.5,1.9,.800,1.2,4.8,6.0,1.3,0.6,0.4,1.1,2.6,16.4
375,Otto Porter Jr.,SF,29,TOR,8,2,18.3,1.9,3.8,.500,0.8,2.1,.353,1.1,1.6,.692,.600,1.0,1.0,1.000,0.8,1.6,2.4,1.0,1.4,0.0,0.5,0.9,5.5
376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,Bobby Portis,PF,27,MIL,31,8,26.1,5.9,11.7,.501,1.1,3.5,.309,4.8,8.2,.585,.548,1.0,1.3,.775,2.4,7.5,10.0,1.9,0.3,0.3,1.2,1.8,13.8
378,Kristaps Porziņģis,PF,27,WAS,29,29,32.8,7.5,15.8,.475,1.8,5.5,.331,5.7,10.3,.552,.533,5.5,6.9,.800,2.0,6.8,8.9,2.7,1.0,1.5,2.2,3.0,22.4
379,Micah Potter,PF,24,UTA,3,0,4.7,0.7,0.7,1.000,0.0,0.0,,0.7,0.7,1.000,1.000,0.0,0.0,,0.3,0.7,1.0,0.7,0.0,0.0,0.0,0.7,1.3
380,Dwight Powell,C,31,DAL,27,22,17.0,2.2,3.1,.694,0.0,0.0,.000,2.2,3.1,.702,.694,1.4,2.1,.672,1.8,1.7,3.6,0.5,0.6,0.4,0.8,2.4,5.8
381,Norman Powell,SG,29,LAC,23,5,25.0,5.1,11.0,.461,1.6,4.2,.371,3.5,6.8,.516,.531,3.0,3.9,.787,0.4,2.5,2.9,1.5,0.8,0.3,1.8,1.9,14.8
