,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
47,Bol Bol,PF,23,ORL,33,28,26.2,4.9,8.4,.591,0.7,1.8,.390,4.2,6.6,.645,.632,1.5,1.9,.778,1.4,5.9,7.3,1.0,0.5,1.7,2.0,1.4,12.1
48,Leandro Bolmaro,SG,22,UTA,9,0,6.1,0.3,1.7,.200,0.0,0.2,.000,0.3,1.4,.231,.200,0.0,0.0,,0.3,0.1,0.4,0.7,0.3,0.1,0.7,0.8,0.7
49,Devin Booker,SG,26,PHO,28,28,35.6,10.1,21.1,.477,2.4,6.5,.370,7.7,14.6,.524,.534,5.5,6.4,.850,0.8,4.0,4.8,5.8,0.9,0.4,2.5,2.8,28.0
50,Brandon Boston Jr.,SG,21,LAC,13,0,9.5,1.8,4.7,.377,0.6,1.4,.444,1.2,3.3,.349,.443,1.2,1.5,.789,0.2,0.8,1.0,0.7,0.2,0.0,0.4,0.7,5.3
51,Chris Boucher,PF,30,TOR,28,0,22.7,3.7,8.2,.450,0.8,2.9,.272,2.9,5.3,.547,.498,2.5,3.3,.763,2.3,4.0,6.2,0.5,0.8,0.8,0.6,2.5,10.7
52,James Bouknight,SG,22,CHO,23,0,14.8,1.7,5.2,.336,0.7,2.7,.258,1.0,2.5,.421,.403,0.7,1.0,.682,0.2,1.9,2.1,1.2,0.5,0.2,0.8,1.3,4.8
53,Tony Bradley,C,25,CHI,9,0,2.8,0.4,0.8,.571,0.2,0.4,.500,0.2,0.3,.667,.714,0.2,0.2,1.000,0.1,1.0,1.1,0.1,0.1,0.0,0.1,0.1,1.3
54,Malaki Branham,SF,19,SAS,16,4,17.3,2.2,5.7,.385,0.9,3.3,.288,1.3,2.4,.513,.467,0.6,0.7,.818,0.2,1.4,1.6,1.6,0.4,0.1,0.9,1.2,5.9
55,Christian Braun,SG,21,DEN,28,1,14.7,1.4,3.2,.433,0.4,1.1,.313,1.0,2.1,.500,.489,0.4,0.7,.550,0.6,1.5,2.2,0.6,0.3,0.2,0.4,1.1,3.5
56,Mikal Bridges,SF,26,PHO,32,32,36.5,6.1,12.9,.469,1.9,4.7,.397,4.2,8.2,.510,.541,2.1,2.4,.883,1.1,3.7,4.8,3.0,1.2,0.8,1.2,2.2,16.1
57,Oshae Brissett,SF,24,IND,27,0,15.7,1.8,4.1,.429,0.9,2.5,.373,0.9,1.7,.511,.540,1.5,2.1,.719,0.7,2.3,3.0,0.4,0.7,0.2,0.6,1.3,6.0
58,Malcolm Brogdon,PG,30,BOS,27,0,24.1,4.9,10.1,.482,1.9,4.2,.451,3.0,5.9,.503,.575,2.4,2.8,.855,0.8,3.3,4.1,3.8,0.6,0.3,1.9,1.5,14.0
59,Dillon Brooks,SG,27,MEM,27,27,31.0,6.7,16.5,.406,2.4,6.9,.344,4.3,9.6,.450,.478,2.2,2.9,.779,0.8,3.0,3.8,2.9,0.9,0.1,1.7,3.2,18.0
